2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
